sk_day_no,day,sk_day_no,fdow,sk_fdow_no,ldow,sk_ldow_no,lyr_ldow,sk_lyr_ldow_no,ssn_start_ldow,sk_ssn_start_ldow_no,log_yr_start_ldow,sk_log_yr_start_ldow_no,fin_yr_start_ldow,sk_fin_yr_start_ldow_no,lyr_ssn_start_ldow,sk_lyr_ssn_start_ldow_no,lyr_log_yr_start_ldow,sk_lyr_log_yr_start_ldow_no,lyr_fin_yr_start_ldow,sk_lyr_fin_yr_start_ldow_no,fdom,sk_fdom_no,plan_fdom,sk_plan_fdom_no,julian_ldom,sk_julian_ldom_no,ldom,sk_ldom_no,plan_ldom,sk_plan_ldom_no,lyr_ldom,sk_lyr_ldom_no,fin_wk,julian_wk,log_wk,plan_wk,fin_mnth,log_mnth,plan_mnth,fin_yr,log_yr,plan_yr,log_yr_desc,fin_no_wk_mnth,log_no_wk_mnth,plan_no_wk_mnth,fin_mnth_wk_no,log_mnth_wk_no,plan_mnth_wk_no,quarter,quarter_desc,first_day_of_season_ind,first_day_of_season_desc,ssn_start_ldow_ind,ssn_start_ldow_desc,yr_start_ldow_ind,yr_start_ldow_desc,season_code,season_desc,fin_quarter_code,fin_quarter_desc,fin_season_code,fin_season_desc,fin_yr_code,fin_yr_desc,lyr_plan_wk_code,lyr_plan_wk_desc,plan_quarter_code,plan_quarter_desc,plan_wk_code,plan_wk_desc,plan_yr_code,plan_yr_desc,plan_mnth_code,plan_mnth_desc,julian_mnth,julian_yr,julian_no_wk_mnth,julian_mnth_wk_no
20110706,06/07/2011,20110706,03/07/2011,20110703,09/07/2011,20110709,10/07/2010,20100710,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,31/07/2011,20110731,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,2,27,2,2,1,7,1,2012,2012,2011,Year 12,2,2,2,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK02,Y11WK02: 04-Jul-2010 - 10-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK02,Year 12 Week 02,Y11,Year 11,11-Jul,11-Jul,7,2011,1,5
20110707,07/07/2011,20110707,03/07/2011,20110703,09/07/2011,20110709,10/07/2010,20100710,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,31/07/2011,20110731,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,2,27,2,2,1,7,1,2012,2012,2011,Year 12,2,2,2,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK02,Y11WK02: 04-Jul-2010 - 10-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK02,Year 12 Week 02,Y11,Year 11,11-Jul,11-Jul,7,2011,1,5
20110708,08/07/2011,20110708,03/07/2011,20110703,09/07/2011,20110709,10/07/2010,20100710,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,31/07/2011,20110731,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,2,27,2,2,1,7,1,2012,2012,2011,Year 12,2,2,2,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK02,Y11WK02: 04-Jul-2010 - 10-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK02,Year 12 Week 02,Y11,Year 11,11-Jul,11-Jul,7,2011,2,5
20110709,09/07/2011,20110709,03/07/2011,20110703,09/07/2011,20110709,10/07/2010,20100710,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,31/07/2011,20110731,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,2,28,2,2,1,7,1,2012,2012,2011,Year 12,2,2,2,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK02,Y11WK02: 04-Jul-2010 - 10-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK02,Year 12 Week 02,Y11,Year 11,11-Jul,11-Jul,7,2011,2,5
20110710,10/07/2011,20110710,10/07/2011,20110710,16/07/2011,20110716,17/07/2010,20100717,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,31/07/2011,20110731,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,3,28,3,3,1,7,1,2012,2012,2011,Year 12,3,3,3,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK03,Y11WK03: 11-Jul-2010 - 17-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK03,Year 12 Week 03,Y11,Year 11,11-Jul,11-Jul,7,2011,2,5
20110711,11/07/2011,20110711,10/07/2011,20110710,16/07/2011,20110716,17/07/2010,20100717,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,31/07/2011,20110731,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,3,28,3,3,1,7,1,2012,2012,2011,Year 12,3,3,3,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK03,Y11WK03: 11-Jul-2010 - 17-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK03,Year 12 Week 03,Y11,Year 11,11-Jul,11-Jul,7,2011,2,5
20110712,12/07/2011,20110712,10/07/2011,20110710,16/07/2011,20110716,17/07/2010,20100717,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,31/07/2011,20110731,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,3,28,3,3,1,7,1,2012,2012,2011,Year 12,3,3,3,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK03,Y11WK03: 11-Jul-2010 - 17-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK03,Year 12 Week 03,Y11,Year 11,11-Jul,11-Jul,7,2011,2,5
20110713,13/07/2011,20110713,10/07/2011,20110710,16/07/2011,20110716,17/07/2010,20100717,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,31/07/2011,20110731,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,3,28,3,3,1,7,1,2012,2012,2011,Year 12,3,3,3,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK03,Y11WK03: 11-Jul-2010 - 17-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK03,Year 12 Week 03,Y11,Year 11,11-Jul,11-Jul,7,2011,2,5
20110714,14/07/2011,20110714,10/07/2011,20110710,16/07/2011,20110716,17/07/2010,20100717,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,31/07/2011,20110731,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,3,28,3,3,1,7,1,2012,2012,2011,Year 12,3,3,3,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK03,Y11WK03: 11-Jul-2010 - 17-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK03,Year 12 Week 03,Y11,Year 11,11-Jul,11-Jul,7,2011,2,5
20110715,15/07/2011,20110715,10/07/2011,20110710,16/07/2011,20110716,17/07/2010,20100717,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,31/07/2011,20110731,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,3,28,3,3,1,7,1,2012,2012,2011,Year 12,3,3,3,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK03,Y11WK03: 11-Jul-2010 - 17-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK03,Year 12 Week 03,Y11,Year 11,11-Jul,11-Jul,7,2011,3,5
20110716,16/07/2011,20110716,10/07/2011,20110710,16/07/2011,20110716,17/07/2010,20100717,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,31/07/2011,20110731,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,3,29,3,3,1,7,1,2012,2012,2011,Year 12,3,3,3,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK03,Y11WK03: 11-Jul-2010 - 17-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK03,Year 12 Week 03,Y11,Year 11,11-Jul,11-Jul,7,2011,3,5
20110717,17/07/2011,20110717,17/07/2011,20110717,23/07/2011,20110723,24/07/2010,20100724,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,31/07/2011,20110731,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,4,29,4,4,1,7,1,2012,2012,2011,Year 12,4,4,4,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK04,Y11WK04: 18-Jul-2010 - 24-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK04,Year 12 Week 04,Y11,Year 11,11-Jul,11-Jul,7,2011,3,5
20110718,18/07/2011,20110718,17/07/2011,20110717,23/07/2011,20110723,24/07/2010,20100724,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,31/07/2011,20110731,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,4,29,4,4,1,7,1,2012,2012,2011,Year 12,4,4,4,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK04,Y11WK04: 18-Jul-2010 - 24-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK04,Year 12 Week 04,Y11,Year 11,11-Jul,11-Jul,7,2011,3,5
20110719,19/07/2011,20110719,17/07/2011,20110717,23/07/2011,20110723,24/07/2010,20100724,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,31/07/2011,20110731,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,4,29,4,4,1,7,1,2012,2012,2011,Year 12,4,4,4,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK04,Y11WK04: 18-Jul-2010 - 24-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK04,Year 12 Week 04,Y11,Year 11,11-Jul,11-Jul,7,2011,3,5
20110720,20/07/2011,20110720,17/07/2011,20110717,23/07/2011,20110723,24/07/2010,20100724,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,31/07/2011,20110731,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,4,29,4,4,1,7,1,2012,2012,2011,Year 12,4,4,4,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK04,Y11WK04: 18-Jul-2010 - 24-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK04,Year 12 Week 04,Y11,Year 11,11-Jul,11-Jul,7,2011,3,5
20110721,21/07/2011,20110721,17/07/2011,20110717,23/07/2011,20110723,24/07/2010,20100724,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,31/07/2011,20110731,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,4,29,4,4,1,7,1,2012,2012,2011,Year 12,4,4,4,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK04,Y11WK04: 18-Jul-2010 - 24-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK04,Year 12 Week 04,Y11,Year 11,11-Jul,11-Jul,7,2011,3,5
20110722,22/07/2011,20110722,17/07/2011,20110717,23/07/2011,20110723,24/07/2010,20100724,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,31/07/2011,20110731,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,4,29,4,4,1,7,1,2012,2012,2011,Year 12,4,4,4,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK04,Y11WK04: 18-Jul-2010 - 24-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK04,Year 12 Week 04,Y11,Year 11,11-Jul,11-Jul,7,2011,4,5
20110723,23/07/2011,20110723,17/07/2011,20110717,23/07/2011,20110723,24/07/2010,20100724,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,31/07/2011,20110731,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,4,30,4,4,1,7,1,2012,2012,2011,Year 12,4,4,4,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK04,Y11WK04: 18-Jul-2010 - 24-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK04,Year 12 Week 04,Y11,Year 11,11-Jul,11-Jul,7,2011,4,5
20110724,24/07/2011,20110724,24/07/2011,20110724,30/07/2011,20110730,31/07/2010,20100731,30/07/2011,20110730,02/07/2011,20110702,02/07/2011,20110702,31/07/2010,20100731,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,24/07/2011,20110724,31/07/2011,20110731,30/07/2011,20110730,27/08/2011,20110827,31/07/2010,20100731,5,30,5,5,1,8,2,2012,2012,2012,Year 12,5,1,1,5,5,5,1,Summer 11 1st QUARTER,Y,Yes,N,No,N,No,S11,Summer11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK05,Y11WK05: 25-Jul-2010 - 31-Jul-2010,S11Q1,Summer 11 1st QUARTER,Y12WK05,Year 12 Week 05,Y12,Year 12,11-Aug,11-Aug,7,2011,4,5
20110725,25/07/2011,20110725,24/07/2011,20110724,30/07/2011,20110730,31/07/2010,20100731,30/07/2011,20110730,02/07/2011,20110702,02/07/2011,20110702,31/07/2010,20100731,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,24/07/2011,20110724,31/07/2011,20110731,30/07/2011,20110730,27/08/2011,20110827,31/07/2010,20100731,5,30,5,5,1,8,2,2012,2012,2012,Year 12,5,1,1,5,5,5,1,Summer 11 1st QUARTER,N,No,N,No,N,No,S11,Summer11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK05,Y11WK05: 25-Jul-2010 - 31-Jul-2010,S11Q1,Summer 11 1st QUARTER,Y12WK05,Year 12 Week 05,Y12,Year 12,11-Aug,11-Aug,7,2011,4,5
